,City,Temperature_max,Wind,Humidity,Latitude,Longitude,Cloudiness,Country
159,lamar,24.0,5.66,53,33.6668,-95.5836,1,US
160,lata,15.0,0.73,89,40.1629,-8.3327,40,PT
161,usinsk,1.88,3.62,98,65.9939,57.5281,100,RU
162,eureka,14.44,5.14,71,40.8021,-124.1637,1,US
163,aswan,23.91,6.56,26,24.0934,32.907,0,EG
164,el tigre,28.63,6.65,52,8.8875,-64.2454,100,VE
165,kavaratti,29.07,3.16,72,10.5669,72.642,6,IN
166,pizarro,24.98,2.9,91,4.9533,-77.366,100,CO
167,cowra,16.11,0.45,55,-33.8333,148.6833,0,AU
168,huarmey,19.7,3.72,87,-10.0681,-78.1522,6,PE
169,camrose,14.0,7.72,22,53.0168,-112.8353,99,CA
170,boa vista,25.0,2.06,88,2.8197,-60.6733,75,BR
171,ribeira grande,15.9,1.6,84,38.5167,-28.7,100,PT
172,ostrovnoy,-1.44,6.39,71,68.0531,39.5131,100,RU
173,east london,20.07,5.21,82,-33.0153,27.9116,70,ZA
174,chkalovskoye,13.83,4.8,48,44.8392,133.0436,100,RU
175,ambon,30.0,1.54,62,-3.6954,128.1814,40,ID
176,dinan,6.11,3.09,93,48.4167,-2.25,2,FR
177,guntur,27.0,1.03,89,16.3,80.45,40,IN
178,hervey bay,22.78,2.68,70,-25.2986,152.8535,96,AU
179,kismayo,27.22,3.18,78,-0.3582,42.5454,12,SO
180,le port,24.44,5.66,73,-20.9373,55.2919,90,RE
181,port alfred,19.05,4.69,84,-33.5906,26.891,88,ZA
182,inhumas,25.0,2.57,61,-16.3578,-49.4961,0,BR
183,montabaur,4.44,2.32,67,50.4333,7.8333,100,DE
184,puerto cabezas,25.02,3.96,75,14.0351,-83.3888,10,NI
185,sheregesh,2.37,2.66,97,52.9209,87.9869,100,RU
186,talnakh,-9.64,4.49,78,69.4865,88.3972,57,RU
187,labuhan,27.1,2.96,77,-6.8844,112.2051,14,ID
188,bailieborough,8.89,2.24,82,53.9167,-6.9667,100,IE
189,agadez,29.52,2.46,11,19.75,10.25,5,NE
190,la gomera,30.0,3.09,70,14.0833,-91.05,75,GT
191,portland,14.44,2.44,62,45.5234,-122.6762,75,US
192,bled,5.0,2.06,100,46.3692,14.1136,40,SI
193,castro,14.06,1.38,89,-24.7911,-50.0119,1,BR
194,vila do maio,21.0,7.72,73,15.1333,-23.2167,75,CV
195,monte patria,18.5,0.69,63,-30.6919,-70.9467,0,CL
196,maroantsetra,23.44,1.16,91,-15.4333,49.7333,100,MG
197,galesong,28.0,1.03,74,-5.3166,119.3661,20,ID
198,yar-sale,0.55,5.62,97,66.8333,70.8333,100,RU
199,tigil,-1.23,3.18,93,57.8,158.6667,100,RU
200,padron,11.67,1.54,93,42.7388,-8.6606,90,ES
201,severo-kurilsk,-0.1,8.33,98,50.6789,156.125,100,RU
202,brownfield,26.67,6.26,7,33.1812,-102.2744,100,US
203,kidal,30.61,3.15,19,18.4411,1.4078,3,ML
204,port blair,28.0,1.77,71,11.6667,92.75,95,IN
205,bubaque,25.56,7.1,70,11.2833,-15.8333,51,GW
206,saint-francois,7.78,1.03,93,46.4154,3.9054,0,FR
207,dickinson,23.33,5.32,3,29.4608,-95.0513,7,US
208,katsuura,15.0,4.12,62,35.1333,140.3,20,JP
209,berestechko,-0.56,0.45,91,50.3605,25.1107,100,UA
210,paita,21.89,6.03,75,-5.0892,-81.1144,64,PE
211,deputatskiy,-2.19,1.07,94,69.3,139.9,100,RU
212,kaitangata,8.89,2.68,76,-46.2817,169.8464,98,NZ
213,chokurdakh,-3.39,1.29,84,70.6333,147.9167,98,RU
214,guerrero negro,16.52,7.47,64,27.9769,-114.0611,100,MX
215,kruisfontein,17.22,0.45,87,-34.0033,24.7314,79,ZA
216,mumford,27.32,2.87,86,5.2618,-0.759,100,GH
217,ibaiti,15.25,1.2,84,-23.8486,-50.1878,16,BR
218,sitka,11.0,2.39,71,57.0531,-135.33,75,US
219,nanortalik,1.25,4.22,94,60.1432,-45.2371,92,GL
220,kemi,-1.0,1.54,86,65.8596,24.8228,0,FI
221,hohhot,6.0,4.0,42,40.8106,111.6522,0,CN
222,klaksvik,4.0,10.8,81,62.2266,-6.589,75,FO
223,otradnoye,5.0,3.0,75,59.7775,30.8181,75,RU
224,cidreira,17.08,4.38,76,-30.1811,-50.2056,0,BR
225,maniitsoq,0.73,4.6,97,65.4167,-52.9,100,GL
226,biskamzha,4.23,2.54,80,53.4497,89.5272,100,RU
227,karwar,26.63,2.0,83,14.8,74.1333,0,IN
228,isangel,28.0,2.57,65,-19.55,169.2667,40,VU
229,college,13.0,6.69,30,64.8569,-147.8028,20,US
230,leningradskiy,-0.26,1.86,85,69.3833,178.4167,87,RU
231,illapel,18.01,0.74,69,-31.6308,-71.1653,0,CL
232,okhotsk,-3.35,1.85,77,59.3833,143.3,100,RU
233,harlingen,26.11,7.72,78,26.1906,-97.6961,90,US
234,hamilton,20.0,2.57,40,39.1834,-84.5333,1,US
235,zawiercie,1.11,0.45,73,50.4877,19.4168,6,PL
236,sapele,25.54,1.59,92,5.8941,5.6767,100,NG
237,pathein,28.73,2.73,66,16.7833,94.7333,65,MM
238,port lincoln,19.22,3.15,60,-34.7333,135.8667,1,AU
239,havelock,17.78,2.06,67,34.8791,-76.9013,1,US
240,byron bay,21.0,4.63,68,-28.65,153.6167,40,AU
241,doha,27.78,3.09,65,25.2867,51.5333,0,QA
242,sinnamary,25.15,5.01,89,5.3833,-52.95,100,GF
243,port macquarie,22.78,2.69,58,-31.4333,152.9167,0,AU
244,sauda,4.44,0.89,79,59.6506,6.3542,82,NO
245,la ronge,1.0,5.14,86,55.1001,-105.2842,90,CA
246,barrow,-6.0,9.77,79,71.2906,-156.7887,1,US
247,waingapu,27.14,4.34,58,-9.6567,120.2641,6,ID
248,boffa,25.13,1.46,75,10.1667,-14.0333,93,GN
249,storforshei,-5.06,1.49,93,66.4043,14.5233,45,NO
250,nara,16.67,1.03,41,34.6851,135.8049,0,JP
251,vila velha,26.0,1.03,89,-20.3297,-40.2925,75,BR
252,bandarbeyla,28.04,1.56,72,9.4942,50.8122,94,SO
253,sao jose da coroa grande,25.47,2.94,81,-8.8978,-35.1478,51,BR
254,qui nhon,27.57,1.85,78,13.7667,109.2333,100,VN
255,ginir,14.12,1.95,88,7.1333,40.7,100,ET
256,porto nacional,25.0,2.57,100,-10.7081,-48.4172,0,BR
257,beloha,21.26,2.46,74,-25.1667,45.05,0,MG
258,luganville,27.46,4.25,74,-15.5333,167.1667,98,VU
259,dolni dabnik,11.0,3.09,76,43.4,24.4333,75,BG
260,hobyo,27.75,2.81,76,5.3505,48.5268,100,SO
261,jasper,27.0,9.26,32,37.2001,-94.3502,1,US
262,toamasina,23.0,2.06,94,-18.1667,49.3833,75,MG
263,fernandez,16.08,3.37,61,-27.9204,-63.8935,0,AR
264,shenjiamen,16.98,4.44,87,29.9576,122.298,100,CN
265,iqaluit,-5.0,9.77,80,63.7506,-68.5145,90,CA
266,svetlyy,3.0,5.0,81,54.675,20.1347,75,RU
267,bonthe,26.71,2.17,82,7.5264,-12.505,21,SL
268,tumpat,26.0,1.54,89,6.1978,102.171,40,MY
269,krasnoselkup,-0.73,7.12,89,65.7,82.4667,9,RU
270,xiashi,19.0,1.0,82,30.5363,120.6864,20,CN
271,loubomo,22.36,1.25,98,-4.1997,12.6739,97,CG
272,fort nelson,-4.0,3.6,74,58.8053,-122.7002,90,CA
273,caloundra,23.33,3.13,69,-26.8,153.1333,13,AU
274,geraldton,21.0,2.57,43,-28.7667,114.6,20,AU
275,duarte,17.0,4.63,51,34.1394,-117.9773,75,US
276,roma,3.33,2.06,44,43.2128,-75.4557,1,US
277,tianpeng,20.0,2.11,1,30.9866,103.9393,87,CN
278,xinyang,18.45,1.58,70,32.1228,114.0656,100,CN
279,havoysund,-3.0,2.06,93,70.9963,24.6622,40,NO
280,plast,4.2,1.28,62,54.3691,60.8136,100,RU
281,esperance,22.0,7.72,30,-33.8667,121.9,100,AU
282,winnemucca,9.0,7.72,40,40.973,-117.7357,20,US
283,san quintin,13.78,5.4,76,30.4833,-115.95,100,MX
284,nhulunbuy,26.0,1.54,100,-12.2333,136.7667,75,AU
285,arucas,19.0,4.63,77,28.1198,-15.5233,40,ES
286,svetlogorsk,-1.52,2.72,84,52.6333,29.7333,53,BY
287,tupik,3.02,3.96,83,54.4253,119.9327,100,RU
288,virginia beach,13.89,2.0,64,36.8529,-75.978,0,US
289,arman,-3.87,1.43,70,59.7,150.1667,47,RU
290,los llanos de aridane,20.0,2.06,73,28.6585,-17.9182,90,ES
291,oranjemund,14.92,1.84,87,-28.55,16.4333,17,NA
292,chahal,23.91,2.34,81,15.75,-89.5667,5,GT
293,bilma,29.4,3.54,11,18.6853,12.9164,1,NE
294,dombarovskiy,10.06,7.45,91,50.7587,59.5386,100,RU
295,plunge,3.0,2.57,100,55.9114,21.8442,75,LT
296,northam,6.67,0.45,79,51.0333,-4.2167,41,GB
297,verkhoyansk,0.67,0.86,99,67.5447,133.385,100,RU
298,laguna,18.89,2.06,25,38.421,-121.4238,20,US
299,raahe,1.0,1.03,64,64.6833,24.4833,0,FI
300,puttur,26.0,1.54,83,12.7667,75.2167,40,IN
301,tiznit,13.37,1.03,87,29.5833,-9.5,0,MA
302,nyandoma,0.95,1.88,98,61.669,40.1991,100,RU
303,egvekinot,-3.45,1.49,92,66.3167,-179.1667,68,RU
304,necochea,11.11,1.34,90,-38.5473,-58.7368,0,AR
305,qandala,28.36,0.34,71,11.472,49.8728,82,SO
306,ceres,19.0,7.2,26,37.5949,-120.9577,1,US
307,husavik,-3.0,2.06,100,66.0449,-17.3389,0,IS
308,lorengau,29.8,1.19,66,-2.0226,147.2712,32,PG
309,dangtu,16.0,2.0,100,31.5723,118.4928,90,CN
310,bima,27.81,2.02,66,-8.4667,118.7167,83,ID
311,oktyabrskiy,4.17,0.89,60,54.4815,53.471,100,RU
312,lagoa,15.15,5.61,90,39.05,-27.9833,100,PT
313,miami,26.0,5.14,57,25.7743,-80.1937,20,US
314,arrecife,19.0,1.54,72,28.963,-13.5477,0,ES
315,never,8.89,1.7,52,46.9896,3.159,100,FR
316,ritchie,14.0,3.09,44,-29.038,24.6028,58,ZA
317,kimbe,31.57,1.54,59,-5.5502,150.1429,23,PG
318,san antonio,28.0,7.2,54,29.4241,-98.4936,75,US
319,zhezkazgan,12.2,4.38,42,47.8043,67.7144,91,KZ
320,quatre cocos,25.0,3.6,94,-20.2078,57.7625,75,MU
321,honningsvag,0.74,4.65,55,70.9821,25.9704,100,NO
322,lakes entrance,16.67,0.89,69,-37.8811,147.981,22,AU
323,manaure,26.77,8.51,72,11.7751,-72.4445,100,CO
324,mount darwin,16.25,1.14,67,-16.7725,31.5838,0,ZW
325,ashland,17.0,4.63,34,40.8167,-82.2665,1,US
326,alofi,30.0,4.63,70,-19.0595,-169.9187,83,NU
327,launceston,14.44,2.57,66,-41.45,147.1667,31,AU
328,nuuk,2.0,4.12,93,64.1835,-51.7216,90,GL
329,san rafael del sur,32.0,5.14,58,11.8485,-86.4384,75,NI
330,seoul,15.0,2.06,55,37.5683,126.9778,0,KR
331,bansang,30.0,1.03,45,13.4333,-14.65,98,GM
332,ilulissat,8.0,6.17,46,69.2167,-51.1,20,GL
333,tessalit,30.81,3.45,9,20.1986,1.0114,50,ML
334,medicine hat,15.56,8.23,25,50.0501,-110.6683,40,CA
335,caravelas,24.49,3.14,80,-17.7125,-39.2481,97,BR
336,lavrentiya,0.5,0.8,91,65.5833,-171.0,9,RU
337,dzerzhinsk,0.0,1.5,80,56.2389,43.4631,0,RU
338,shyroke,1.0,2.0,80,47.6917,33.2571,0,UA
339,ribas do rio pardo,19.59,0.78,70,-20.4431,-53.7592,2,BR
340,matara,25.69,1.36,88,5.9485,80.5353,93,LK
341,cankuzo,12.96,0.57,93,-3.1333,30.5833,98,BI
342,dengzhou,14.29,4.7,82,37.8086,120.7508,100,CN
343,kourou,24.44,1.54,100,5.1552,-52.6478,75,GF
344,bara,27.99,2.17,50,10.3744,10.7288,17,NG
345,maragogi,25.37,2.78,82,-9.0122,-35.2225,67,BR
346,chumikan,1.12,4.04,86,54.7183,135.315,100,RU
347,morehead,21.0,2.06,43,37.2711,-87.1764,1,US
348,upernavik,0.94,2.16,77,72.7868,-56.1549,100,GL
349,mabaruma,22.95,1.74,96,8.2,-59.7833,82,GY
350,saint-philippe,25.0,8.75,73,-21.3585,55.7679,90,RE
351,neuquen,15.0,1.18,82,-38.9516,-68.0591,0,AR
352,taltal,17.12,2.09,80,-25.4,-70.4833,0,CL
353,qaqortoq,3.0,1.03,87,60.7167,-46.0333,75,GL
354,wanning,26.47,2.56,83,18.8003,110.3967,100,CN
355,rosario oeste,22.73,0.86,81,-14.8361,-56.4275,77,BR
356,constanza,7.0,3.6,49,47.6603,9.1758,91,DE
357,ipixuna,26.0,2.06,83,-1.7625,-48.8043,20,BR
358,teahupoo,31.0,2.57,58,-17.8333,-149.2667,40,PF
359,vadso,-3.0,3.09,80,70.0744,29.7487,99,NO
360,sur,29.25,4.39,37,22.5667,59.5289,9,OM
361,christchurch,12.22,5.66,50,-43.5333,172.6333,40,NZ
362,biltine,26.96,3.91,9,14.5333,20.9167,5,TD
363,yashalta,5.48,4.18,96,46.3395,42.2762,18,RU
364,la palma,18.33,3.6,48,33.8464,-118.0467,75,US
365,houma,22.22,3.6,73,29.5958,-90.7195,1,US
366,west bay,28.0,2.57,74,19.3667,-81.4167,20,KY
367,salta,14.0,1.03,82,-24.7859,-65.4117,90,AR
368,aksu,15.39,2.85,22,41.1231,80.2644,0,CN
369,starominskaya,5.74,3.78,88,46.53,39.0497,87,RU
370,abu samrah,14.39,6.45,81,35.3029,37.1841,0,SY
371,norman wells,-8.0,1.54,41,65.282,-126.8329,75,CA
372,flin flon,4.98,3.83,81,54.7682,-101.865,100,CA
373,romanovo,10.12,3.88,71,52.6182,81.2271,100,RU
374,dabola,26.58,1.36,63,10.75,-11.1167,100,GN
375,nyagan,2.04,2.7,90,62.1406,65.3936,100,RU
376,narsaq,3.0,1.03,87,60.9167,-46.05,75,GL
377,hualmay,19.41,4.12,87,-11.0964,-77.6139,3,PE
378,san francisco,15.0,12.35,47,37.7749,-122.4194,75,US
379,dolovo,10.56,0.51,76,44.9011,20.8775,0,RS
380,mehamn,-0.87,4.16,65,71.0357,27.8492,99,NO
381,tsiroanomandidy,18.07,1.1,94,-18.7667,46.0333,63,MG
382,te anau,7.54,0.63,65,-45.4167,167.7167,21,NZ
383,clyde river,-4.0,1.54,100,70.4692,-68.5914,90,CA
384,muncar,27.61,3.77,76,-8.4333,114.3333,57,ID
385,isetskoye,4.25,4.04,66,56.4858,65.3226,1,RU
386,rocha,11.33,2.45,82,-34.4833,-54.3333,0,UY
387,belaya gora,-2.54,2.91,76,68.5333,146.4167,100,RU
388,muli,28.13,2.8,73,2.9167,73.5667,44,MV
389,tromso,-1.0,4.12,93,69.6496,18.957,75,NO
390,belmonte,25.0,2.06,73,-15.8631,-38.8828,0,BR
391,mana,25.22,4.68,89,5.6592,-53.7767,100,GF
392,aykhal,-11.43,6.39,92,66.0,111.5,100,RU
393,srednekolymsk,-2.46,2.45,75,67.45,153.6833,68,RU
394,panzhihua,22.14,1.41,45,26.5851,101.7128,0,CN
395,juruti,24.0,1.0,93,-2.1522,-56.0922,100,BR
396,villa de reyes,21.0,12.86,56,21.8,-100.9333,90,MX
397,hudiksvall,-0.12,1.56,66,61.729,17.1036,100,SE
398,aberdeen,6.67,4.12,100,57.1437,-2.0981,90,GB
399,yakeshi,3.88,11.47,54,49.2833,120.7333,100,CN
